t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
0.0,TAKEOFF,-2.1255270052859747,59.98741243218692,0,8.624,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.00016364849579986185,0.0008047031005844474,-0.016127388924360275,10.000000004412279,7.975472637938368e-08,AUTO.LOITER,0
0.032,TAKEOFF,-2.1255270659710495,59.98739744815298,0,8.656,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0002012489567277953,0.0005213211989030242,-0.01580289751291275,10.000000004412279,7.975472637938368e-08,AUTO.LOITER,0
0.068,TAKEOFF,-2.1255271342417617,59.98743501659728,0,8.692,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.00024675566237419844,0.00023795700690243393,-0.015419884584844112,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.112,TAKEOFF,-2.1255272176837474,59.9874350262928,0,8.736,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.00030420071561820805,-7.08593288436532e-05,-0.015009335242211819,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.144,TAKEOFF,-2.125527278233285,59.98743503334573,0,8.768,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0003843287704512477,-0.00047019674093462527,-0.014429938048124313,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.184,TAKEOFF,-2.125527353320662,59.98721425998809,0,8.808,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0006781670963391662,-0.0008248643134720623,-0.013656307943165302,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.22,TAKEOFF,-2.1255274206592443,59.987435049668726,0,8.844,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0006781670963391662,-0.0008248643134720623,-0.013656307943165302,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.256,TAKEOFF,-2.125527488181295,59.9866430970005,0,8.88,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.002115475246682763,0.0010869636898860335,-0.013613074086606503,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.288,TAKEOFF,-2.125527548439657,59.98696400490474,0,8.912,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.002586457645520568,0.001663307542912662,-0.01348421536386013,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.328,TAKEOFF,-2.125527623883179,59.986647855267286,0,8.952,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0033735577017068863,0.002562221372500062,-0.013309650123119354,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.364,TAKEOFF,-2.1255276916247907,59.986793769317444,0,8.988,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004014782141894102,0.0032174568623304367,-0.013391478918492794,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.4,TAKEOFF,-2.1255277589801853,59.98680084771718,0,9.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.004648943431675434,0.003813479794189334,-0.013401337899267673,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.436,TAKEOFF,-2.125527826342415,59.98665967993237,0,9.06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005424270872026682,0.004482305143028498,-0.013300897553563118,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.468,TAKEOFF,-2.1255278864978395,59.9869763798622,0,9.092,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.005882943980395794,0.004853654187172651,-0.013243729248642921,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.508,TAKEOFF,-2.125527961473868,59.98743511185016,0,9.132,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.006504509598016739,0.0053125726990401745,-0.013168799690902233,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.544,TAKEOFF,-2.1255280288123464,59.987435119525216,0,9.168,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.007288344204425812,0.005818394478410482,-0.012805725447833538,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.58,TAKEOFF,-2.1255280964519994,59.98743512733499,0,9.204,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.007916880771517754,0.00617226492613554,-0.012493422254920006,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.616,TAKEOFF,-2.125528164319023,59.9872640958908,0,9.24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.008595244958996773,0.00643910001963377,-0.01186259277164936,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.648,TAKEOFF,-2.125528217119476,59.98724586999663,0,9.272,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.008784515783190727,0.0064429170452058315,-0.011498396284878254,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.684,TAKEOFF,-2.125528292326951,59.9872287908161,0,9.308,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.008990878239274025,0.006419386714696884,-0.011057780124247074,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.708,TAKEOFF,-2.125528337210976,59.987435155102396,0,9.332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.008990878239274025,0.006419386714696884,-0.011057780124247074,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.736,TAKEOFF,-2.1255283895428523,59.98743516105237,0,9.36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.009271380491554737,0.006357262842357159,-0.010412480682134628,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.768,TAKEOFF,-2.125528442084037,59.98719632879369,0,9.392,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.009510226547718048,0.006301542744040489,-0.010034527629613876,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.808,TAKEOFF,-2.125528524731774,59.9874351765929,0,9.432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.00975790899246931,0.00624049874022603,-0.009651675820350647,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.844,TAKEOFF,-2.1255285920376026,59.98743518424444,0,9.468,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.010029833763837814,0.006170205771923065,-0.00932689756155014,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.88,TAKEOFF,-2.1255286595642446,59.987435192009684,0,9.504,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.010319416411221027,0.006074455566704273,-0.00899081863462925,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
0.916,TAKEOFF,-2.125528727384466,59.987435199882604,0,9.54,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.010613902471959591,0.005954871419817209,-0.00870231632143259,10.000000004412279,7.975472637938368e-08,OFFBOARD,0
