t,phase,clearance,horizontal_error_gt,tag_valid,tag_age,tag_weight,yolo_visible,yolo_confidence,coarse_vx,coarse_vy,tag_vx,tag_vy,cmd_vx,cmd_vy,cmd_vz,uav_x,uav_y,uav_z,vehicle_x,vehicle_y,mode,armed
0.0,TAKEOFF,-2.1029644184181815,60.35254592883439,0,8.164,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0027541527524590492,-0.005052742548286915,-0.012086682952940464,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.028,TAKEOFF,-2.1063575685422937,60.352887627040964,0,8.192,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0027541527524590492,-0.005052742548286915,-0.012086682952940464,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.064,TAKEOFF,-2.110959099590224,60.35348765816539,0,8.228,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0026377702597528696,-0.005254322662949562,-0.01221349649131298,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.1,TAKEOFF,-2.1158128297901886,60.354085386947084,0,8.264,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002542078960686922,-0.005466426257044077,-0.012350308708846569,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.132,TAKEOFF,-2.120323785287483,60.35461476544854,0,8.296,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0024390590842813253,-0.005749715492129326,-0.012174995616078377,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.16,TAKEOFF,-2.124411293195346,60.3550764747237,0,8.324,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0023510348983108997,-0.005980117712169886,-0.01207038201391697,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.2,TAKEOFF,-2.1304580958903743,60.35573363208079,0,8.364,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0022700675763189793,-0.006226774305105209,-0.011996764689683914,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.228,TAKEOFF,-2.1348223315448682,60.35619194059622,0,8.392,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002185056684538722,-0.006492690648883581,-0.01191266905516386,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.264,TAKEOFF,-2.1405739780362785,60.35677913200334,0,8.428,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.002080882666632533,-0.006839767098426819,-0.011799870990216732,10.000000083512225,1.5435317252992384e-11,AUTO.LOITER,0
0.304,TAKEOFF,-2.147124817487826,60.35736211909004,0,8.468,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0022029676474630833,-0.007022388745099306,-0.011870124377310276,10.000000083512225,1.5435317252992384e-11,OFFBOARD,0
