t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
0.06,WAIT_FCU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,
0.152,WAIT_FCU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,
0.252,WAIT_FCU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,
0.352,WAIT_FCU,True,-12.999999998076058,-6.000000000103772,0.039940163804208985,3.313369078550242e-09,-1.381981017550843e-09,0.009997333450644685,1.8826172535447227e-09,3.4962551825500496e-08,1.6713400147568683e-13,,,,,,,,,,,,,,,,,,,False,,,,False,
0.452,WAIT_FCU,True,-12.999999999950706,-5.999999999995474,0.05399683486622452,-1.4295183230295325e-10,2.277109398178063e-09,0.00031274336494448136,-8.394265946919875e-11,8.691891733468315e-10,4.717824292856756e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.552,WAIT_FCU,True,-12.999999999951509,-6.000000000004746,0.05399996152462717,-2.1761491491065777e-11,-2.3145515643511197e-09,9.668753837338561e-08,8.449213752850938e-11,8.50285065891197e-10,5.6400302136090005e-14,10.000000000027248,7.672698336552804e-08,0.049999991681922595,3.825621133097166e-09,1.1909978012494826e-09,0.004998832011037343,4.006725947276748e-09,-2.1062211997025505e-10,23.769728667357636,,,,,,,,,,False,,,,False,
0.652,WAIT_FCU,False,-12.999999999951287,-5.999999999995443,0.05399996221972537,-2.1772092218442433e-11,2.315242677929539e-09,2.717437400567846e-08,-8.452539946946874e-11,8.502912863695364e-10,4.761028934404731e-14,10.000000000382837,7.697216138425901e-08,0.04999999651757947,1.9973200029340066e-13,-1.8863191018609664e-12,6.636452019166441e-08,1.896863892319838e-12,-2.642200138861667e-09,23.76972866776104,,,,,,,,,,False,,,,False,
0.752,WAIT_FCU,False,-12.999999999951065,-6.000000000004749,0.05399996221987914,-2.1775694974838708e-11,-2.315252593454531e-09,2.7158862587139953e-08,8.452396296610639e-11,8.502912752659869e-10,5.638234310486859e-14,10.000000000722691,7.723693741678884e-08,0.04992755344959976,-3.921807992750009e-09,4.793127953567344e-09,-0.01811021328577047,6.1931133940261845e-09,-5.082978905321839e-09,23.769728668158862,,,,,,,,,,False,,,,False,
0.852,WAIT_FCU,False,-12.999999999950843,-5.999999999995443,0.05399996221987914,-2.177169939501143e-11,2.3152529160382317e-09,2.715884877180219e-08,-8.452561513949662e-11,8.502914227161024e-10,4.7606398025516845e-14,10.000000001153168,7.75041249748547e-08,0.0499999937956096,5.1840650016357235e-09,1.3726581832990137e-09,0.0049994032279413545,5.3627157699585515e-09,-7.910561851421401e-09,23.769728668640276,,,,,,,,,,False,,,,False,
0.952,WAIT_FCU,False,-12.99999999995062,-6.000000000004749,0.05399996221987916,-2.177570184539887e-11,-2.3152528396993567e-09,2.7158858000531083e-08,8.45239738177618e-11,8.502912772514548e-10,5.637829463282967e-14,10.000000001508708,7.774965027273895e-08,0.04999999628703666,-1.285919003082882e-13,1.2151298078655277e-12,6.32157364624841e-07,1.2219150243728944e-12,-1.034211305266869e-08,23.76972866904841,,,,,,,,,,False,,,,False,
1.052,WAIT_FCU,False,-12.99999999995039,-6.000000000004749,0.05399996221987916,-2.1775698465685052e-11,-2.3152528421164323e-09,2.7158858000531083e-08,8.452397411112643e-11,8.502912769692273e-10,5.637619197339939e-14,10.000000001848566,7.80144187809427e-08,0.04992755344959976,-3.921808232060859e-09,4.793127958771515e-09,-0.018110213285769377,6.193113549598256e-09,-1.278289241171386e-08,23.769728669443875,,,,,,,,,,False,,,,False,
1.152,WAIT_FCU,False,-12.999999999950177,-6.000000000004749,0.05399996221987916,-2.1775700365033903e-11,-2.315252841664411e-09,2.7158858000531083e-08,8.452397433573241e-11,8.502912770090073e-10,5.63742510471024e-14,10.0000000022041,7.825993921841952e-08,0.04992755344959987,-3.921808307404797e-09,4.793127965710409e-09,-0.01811021328577028,6.1931136026803574e-09,-1.5214443995416972e-08,23.769728669849663,,,,,,,,,,False,,,,False,
1.252,WAIT_FCU,False,-12.999999999949955,-5.999999999995443,0.05399996221987914,-2.177170027140158e-11,2.315252915803722e-09,2.7158848723229933e-08,-8.452561498004747e-11,8.50291422831118e-10,4.7598310895331665e-14,10.000000002634579,7.852712679215352e-08,0.04999999379560949,5.184065103502818e-09,1.37265832120953e-09,0.004999403227941483,5.362715903732124e-09,-1.804202682433453e-08,23.769728670331084,,,,,,,,,,False,,,,False,
1.3519999999999999,WAIT_FCU,False,-12.999999999949733,-6.000000000004749,0.05399996221987916,-2.177570051159406e-11,-2.3152528396922905e-09,2.7158858000531083e-08,8.452397403528488e-11,8.502912770672221e-10,5.637020743339406e-14,10.000000002990122,7.877265210347425e-08,0.04999999628703655,-1.2859188288124706e-13,1.215129372702351e-12,6.321573646387188e-07,1.2219145897921645e-12,-2.0473577925782718e-08,23.769728670739223,,,,,,,,,,False,,,,False,
1.452,WAIT_FCU,False,-12.999999999949502,-6.000000000004749,0.05399996221987916,-2.1775698852339007e-11,-2.3152528391107925e-09,2.7158858000697617e-08,8.452397394651416e-11,8.502912772678247e-10,5.636810473948843e-14,10.000000003329975,7.903742062521642e-08,0.04992755344959976,-3.9218085467671e-09,4.793127969179856e-09,-0.018110213285769217,6.193113756942439e-09,-2.291435718577599e-08,23.769728671134676,,,,,,,,,,False,,,,False,
1.552,WAIT_FCU,False,-12.99999999994928,-5.999999999995443,0.05399996221987914,-2.177169784441822e-11,2.3152529206850756e-09,2.7158848723063402e-08,-8.452561530057709e-11,8.502914226410081e-10,4.7592164589711705e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671470443,,,,,,,,,,False,,,,False,
1.6520000000000001,WAIT_FCU,False,-12.999999999949067,-5.999999999995443,0.05399996221987914,-2.177169773961735e-11,2.315252917890535e-09,2.7158848730168827e-08,-8.45256149770777e-11,8.502914226672861e-10,4.759022364672112e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671470236,,,,,,,,,,False,,,,False,CMODE(65536)
1.752,WAIT_FCU,False,-12.999999999948844,-6.000000000004749,0.05399996221987916,-2.1775698294756198e-11,-2.315252842390431e-09,2.7158858000531083e-08,8.452397384934551e-11,8.502912771013614e-10,5.636212018968754e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671472368,,,,,,,,,,False,,,,False,CMODE(65536)
1.8519999999999999,WAIT_FCU,False,-12.999999999948622,-5.999999999995443,0.05399996221987914,-2.1771697086532944e-11,2.315252916059499e-09,2.715884874421315e-08,-8.452561498578142e-11,8.502914226078174e-10,4.758618003943953e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671469807,,,,,,,,,,False,,,,False,CMODE(65536)
1.952,WAIT_FCU,False,-12.9999999999484,-6.000000000004749,0.05399996221987916,-2.17757010444513e-11,-2.315252837677423e-09,2.7158858000697617e-08,8.452397395842217e-11,8.502912770673152e-10,5.6358076584785686e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.769728671471945,,,,,,,,,,False,,,,False,CMODE(65536)
2.052,WAIT_FCU,False,-12.999999999948178,-5.999999999995443,0.05399996221987914,-2.177169764377817e-11,2.315252915038903e-09,2.715884874421315e-08,-8.452561523178623e-11,8.502914226949707e-10,4.7582136459560366e-14,10.000000003626253,7.924202100084607e-08,0.04992755344959976,0.0,0.0,0.0,0.0,-2.4940650090687922e-08,23.76972867146938,,,,,,,,,,False,,,,False,CMODE(65536)
