t,phase,tag_visible,uav_x_gt,uav_y_gt,uav_z_gt,uav_vx_gt,uav_vy_gt,uav_vz_gt,uav_roll_gt,uav_pitch_gt,uav_yaw_gt,vehicle_x_gt,vehicle_y_gt,vehicle_z_gt,vehicle_vx_gt,vehicle_vy_gt,vehicle_vz_gt,vehicle_speed_gt,vehicle_yaw_gt,horizontal_error_gt,uav_x_mavros,uav_y_mavros,uav_z_mavros,uav_vx_mavros,uav_vy_mavros,uav_vz_mavros,tag_x_map_visual,tag_y_map_visual,tag_error_visual,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y,armed,flight_mode
0.2,WAIT_FCU,True,-12.99999999979786,-5.999999999992101,0.05365256317358427,3.3315592681709733e-09,2.214374728041077e-09,0.009997325879639241,-1.4515808840090903e-10,3.649202769292322e-09,5.006016898053176e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.264,WAIT_FCU,True,-12.999999999951244,-5.999999999995438,0.053998366576005576,-7.901157172462672e-11,2.288478029415226e-09,0.00015958184766960858,-8.457701660880002e-11,8.59003477404988e-10,4.727616852137518e-14,,,,,,,,,,,,,,,,,,,False,,,,False,
0.364,WAIT_FCU,True,-12.999999999951491,-6.000000000004747,0.0539999618651757,-2.1748243022505506e-11,-2.3147953835693964e-09,6.263243452531153e-08,8.449513822750153e-11,8.502847184618461e-10,5.639416875392389e-14,10.000000000011608,7.674589709622166e-08,0.04992755432651541,-3.921173327979166e-09,4.8127997108460274e-09,-0.018110242307412306,6.20794984876447e-09,-2.1988509663218275e-10,23.769728667347266,,,,,,,,,,False,,,,False,
0.464,WAIT_FCU,True,-12.99999999995126,-6.000000000004749,0.053999962219823734,-2.1775173069066205e-11,-2.315246565949324e-09,2.7164477928665053e-08,8.452350923433365e-11,8.502911717974948e-10,5.638421687298133e-14,10.000000000442094,7.701308898928451e-08,0.04999999628703666,-1.2859190270380326e-13,1.2151304611396883e-12,6.321573646248409e-07,1.221915674271566e-12,-3.0474580865580615e-09,23.769728667831032,,,,,,,,,,False,,,,False,
0.564,WAIT_FCU,True,-12.999999999951047,-6.000000000004749,0.05399996221987916,-2.177569115109089e-11,-2.3152526739014556e-09,2.7158859957299164e-08,8.452396357810365e-11,8.502912751925395e-10,5.63821793139946e-14,10.000000000797634,7.725860941395956e-08,0.04999999628703666,-1.285918876276094e-13,1.2151295842488297e-12,6.321573646319464e-07,1.2219148006634365e-12,-5.4790097658693074e-09,23.769728668236827,,,,,,,,,,False,,,,False,
0.664,WAIT_FCU,False,-12.999999999950825,-5.999999999995443,0.05399996221987914,-2.1771700384678556e-11,2.3152529145053734e-09,2.7158848757924403e-08,-8.45256153621284e-11,8.502914227933136e-10,4.760623629682376e-14,10.000000001153168,7.750412230718871e-08,0.04999999651757947,1.9973200333728314e-13,-1.8863190929935902e-12,6.636452019149788e-08,1.8968638838222644e-12,-7.910562089092047e-09,23.769728668640255,,,,,,,,,,False,,,,False,
0.764,WAIT_FCU,False,-12.999999999950594,-5.999999999995443,0.05399996221987914,-2.1771695969979008e-11,2.3152529155707187e-09,2.715884874421315e-08,-8.452561498198938e-11,8.502914226421356e-10,4.760413367127047e-14,10.000000001567965,7.779056547804154e-08,0.0499999937956096,5.1840650302802346e-09,1.3726582223302919e-09,0.0049994032279420016,5.362715807639388e-09,-1.0747372085753698e-08,23.769728669113704,,,,,,,,,,False,,,,False,
0.864,WAIT_FCU,False,-12.999999999950381,-5.999999999995443,0.05399996221987914,-2.1771697127565574e-11,2.3152529198106286e-09,2.7158848730168827e-08,-8.452561500420484e-11,8.502914224509939e-10,4.760219275382773e-14,10.000000001923508,7.803608591287596e-08,0.0499999937956096,5.184065054589711e-09,1.3726582492185058e-09,0.0049994032279417,5.362715838021426e-09,-1.3178923689228135e-08,23.7697286695195,,,,,,,,,,False,,,,False,
0.964,WAIT_FCU,False,-12.99999999995015,-5.999999999995443,0.05399996221987914,-2.1771694738940735e-11,2.3152529187633174e-09,2.7158848723063402e-08,-8.452561529058979e-11,8.502914227009483e-10,4.760009008649682e-14,10.000000002279043,7.828160368325466e-08,0.04999999651757947,1.9973200771003128e-13,-1.886319079096956e-12,6.636452019149788e-08,1.8968638704633153e-12,-1.5610475506426445e-08,23.76972866992527,,,,,,,,,,False,,,,False,
1.064,WAIT_FCU,False,-12.999999999949928,-6.000000000004749,0.05399996221987916,-2.1775701934745423e-11,-2.3152528394269004e-09,2.7158858000697617e-08,8.45239741558609e-11,8.502912770515584e-10,5.637198662765357e-14,10.000000002618892,7.854637973294943e-08,0.04992755344959976,-3.921808395764573e-09,4.793127965710409e-09,-0.018110213285770227,6.193113658634458e-09,-1.8051254146128263e-08,23.769728670323083,,,,,,,,,,False,,,,False,
