epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94359,1.31652,3.88721,1.09628,0.99809,1,0.995,0.85191,0.70345,1.13652,0.84133,0.00038,0.00038,0.00038
2,9.24011,0.68518,1.14919,0.83496,0.22611,1,0.69429,0.62526,0.4435,4.2949,0.792,0.000760695,0.000760695,0.000760695
3,12.3794,0.61409,0.7949,0.8513,0.99729,1,0.995,0.8461,0.57969,1.01549,0.81309,0.00112159,0.00112159,0.00112159
4,15.5061,0.58666,0.6326,0.82951,0.99848,1,0.995,0.81493,0.61675,0.70548,0.82418,0.00146269,0.00146269,0.00146269
5,18.5158,0.58363,0.57441,0.83883,0.99862,1,0.995,0.85394,0.50065,0.87738,0.79533,0.00178398,0.00178398,0.00178398
6,21.6828,0.57344,0.53212,0.82705,0.99862,1,0.995,0.89575,0.43046,0.4041,0.78319,0.0017525,0.0017525,0.0017525
7,24.8206,0.54297,0.49377,0.83746,0.99858,1,0.995,0.90356,0.50057,0.33077,0.80298,0.001703,0.001703,0.001703
8,27.9652,0.53789,0.47749,0.83032,0.99824,1,0.995,0.9532,0.38092,0.2981,0.78184,0.0016535,0.0016535,0.0016535
9,31.0814,0.46663,0.40707,0.82467,0.99852,1,0.995,0.90114,0.38395,0.29675,0.77912,0.001604,0.001604,0.001604
10,34.0643,0.4068,0.39922,0.81916,0.99829,1,0.995,0.97303,0.29597,0.25691,0.77077,0.0015545,0.0015545,0.0015545
11,37.0869,0.43495,0.38298,0.81264,0.99863,1,0.995,0.89615,0.4421,0.29366,0.79116,0.001505,0.001505,0.001505
12,40.0588,0.44527,0.36898,0.8196,0.9986,1,0.995,0.97759,0.36881,0.29018,0.78764,0.0014555,0.0014555,0.0014555
13,43.1934,0.43615,0.34685,0.81767,0.99861,1,0.995,0.93177,0.36014,0.26151,0.77861,0.001406,0.001406,0.001406
14,46.194,0.4063,0.34364,0.78941,0.99856,1,0.995,0.995,0.26749,0.25028,0.76789,0.0013565,0.0013565,0.0013565
15,50.0427,0.3702,0.32634,0.79703,0.99858,1,0.995,0.93739,0.25426,0.30916,0.76722,0.001307,0.001307,0.001307
16,52.9718,0.34173,0.32239,0.8059,0.99862,1,0.995,0.98617,0.24565,0.26842,0.76645,0.0012575,0.0012575,0.0012575
17,56.0372,0.34135,0.3122,0.80235,0.99863,1,0.995,0.94112,0.32104,0.28538,0.77254,0.001208,0.001208,0.001208
18,58.9657,0.34406,0.30683,0.79315,0.9986,1,0.995,0.9156,0.3389,0.26245,0.77391,0.0011585,0.0011585,0.0011585
19,62.2291,0.32786,0.28962,0.78944,0.99865,1,0.995,0.995,0.25599,0.25257,0.76723,0.001109,0.001109,0.001109
20,65.3823,0.34456,0.29567,0.80576,0.99861,1,0.995,0.995,0.22606,0.24682,0.76547,0.0010595,0.0010595,0.0010595
21,71.384,0.34127,0.3034,0.79704,0.99863,1,0.995,0.99278,0.23263,0.23846,0.76479,0.00101,0.00101,0.00101
22,74.352,0.2974,0.27083,0.79124,0.99865,1,0.995,0.995,0.24097,0.21644,0.76726,0.0009605,0.0009605,0.0009605
23,77.4949,0.29258,0.26131,0.7826,0.99867,1,0.995,0.995,0.20266,0.22488,0.76428,0.000911,0.000911,0.000911
24,80.5686,0.28891,0.28113,0.79367,1,1,0.995,0.995,0.23526,0.224,0.76783,0.0008615,0.0008615,0.0008615
25,83.6221,0.29163,0.26105,0.80081,0.99867,1,0.995,0.995,0.22195,0.21726,0.7651,0.000812,0.000812,0.000812
26,86.7232,0.26813,0.24782,0.79214,0.99866,1,0.995,0.995,0.19845,0.21905,0.76358,0.0007625,0.0007625,0.0007625
