epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4271,0.45547,0.31367,0.91702,0.99785,1,0.995,0.92567,0.3661,0.30583,0.81466,0.000655914,0.000655914,0.000655914
2,27.7272,0.48705,0.33657,0.90407,0.99921,1,0.995,0.93636,0.31291,0.25978,0.80953,0.00119165,0.00119165,0.00119165
3,40.0267,0.4957,0.34889,0.90343,0.99768,1,0.995,0.90169,0.42561,0.65692,0.78242,0.00159538,0.00159538,0.00159538
4,51.7665,0.48437,0.34032,0.89343,0.99928,1,0.995,0.94993,0.34945,0.25325,0.816,0.001406,0.001406,0.001406
5,63.6773,0.47851,0.3209,0.89196,0.99923,1,0.995,0.95643,0.35077,0.23231,0.81024,0.001208,0.001208,0.001208
6,75.5133,0.44096,0.30193,0.87671,0.9993,1,0.995,0.90959,0.35365,0.21892,0.80691,0.00101,0.00101,0.00101
7,87.3769,0.41843,0.28223,0.88198,0.9993,1,0.995,0.94406,0.20464,0.18525,0.79946,0.000812,0.000812,0.000812
8,99.3096,0.3847,0.25877,0.86898,1,1,0.995,0.98288,0.274,0.18739,0.80702,0.000614,0.000614,0.000614
9,111.427,0.35401,0.24004,0.85422,0.99932,1,0.995,0.99169,0.19734,0.16232,0.79663,0.000416,0.000416,0.000416
10,123.281,0.33278,0.22679,0.86719,1,1,0.995,0.995,0.16343,0.12644,0.79295,0.000218,0.000218,0.000218
